QUEST_UNUSED_20150317_000001	啊哈，這條路是前往拜訪寬恕者大師的路啊！祝你好武運。
QUEST_UNUSED_20150317_000002	路上小心。
QUEST_UNUSED_20150317_000003	對。就是這個。已經被允許進到寬恕者門下了。{nl}向捐款箱投放的一牧銀幣所得到的免罪符能夠引導我們贖罪。{nl}請謹記財物還有女神巨大的祝福。
QUEST_UNUSED_20150317_000004	快回去寬恕者大師那裏。{nl}他找火甕找了很久。
QUEST_UNUSED_20150317_000005	守門者貓頭鷹雕像
QUEST_UNUSED_20150317_000006	泰斯拉把木頭雕刻成我們的樣子。{nl}所以我們一直都想好好報答他的恩惠。{nl}
QUEST_UNUSED_20150317_000007	所以我說。我有事相求。{nl}能不能幫我收集大教堂的大理石雕像然後轉交給泰斯拉呢？
QUEST_UNUSED_20150317_000008	泰斯拉應該很喜歡大教堂的大理石吧？
QUEST_UNUSED_20150317_000009	貓頭鷹雕像的禮物嗎？{nl}那些可愛傢伙就是我生活的證據吧。{nl}
QUEST_UNUSED_20150317_000010	總之…難怪好像有客人來的樣子，謝謝啊。
QUEST_UNUSED_20150317_000011	我第一次在柯拉佩達見到你的時候，我就在想你真的能用那纖細的手臂揮動劍嗎？{nl}不過現在都成為了人人歌頌的勇士了。{nl}
QUEST_UNUSED_20150317_000012	但我還是想確認看看你的勇氣。{nl}報喪女妖讓邪惡氣息瀰漫著整個黑暗森林…對你來說應該是個剛剛好的挑戰吧！
QUEST_UNUSED_20150317_000013	不怎麼樣嘛！只不過是狩獵而已。{nl}他應該會在柯拉佩達等你喔！
QUEST_UNUSED_20150317_000014	來了啊！我一直在等你呢！{nl}這是符合你勇氣的獎勵。
QUEST_UNUSED_20150317_000015	呼呼，真是認真啊！{nl}我突然想起你還是實習法師的時候。那時候你真的很認真呢…{nl}
QUEST_UNUSED_20150317_000016	我很好奇你現在究竟進不了多少。{nl}汙染這黑暗森林的報喪女妖對你來說應該是個適當的挑戰吧？
QUEST_UNUSED_20150317_000017	我覺得比起考試這是做好事。{nl}那麼下次在柯拉佩達見囉！
QUEST_UNUSED_20150317_000018	不錯，消滅的很乾脆。{nl}下次見面的時候我是否會更好奇你變成甚麼樣了呢？
QUEST_UNUSED_20150317_000019	第一次見到你的時候心想真是個半調子該不會馬上就被擊倒吧…{nl}現在竟然比我還有名。{nl}
QUEST_UNUSED_20150317_000020	我想看看你是不是真的實力如其名，跟我打個賭吧！？{nl}把汙染這森林的報喪女妖全都消滅吧怎麼樣？
QUEST_UNUSED_20150317_000021	其時打賭才沒那麼重要呢。重點是和我見面。{nl}那麼我就在柯拉佩達等你。
QUEST_UNUSED_20150317_000022	來了啊！你真令人讚賞啊！{nl}我能期待你下次進步多少嗎？
QUEST_UNUSED_20150317_000023	比起第一次來到柯拉佩達的時候，又充滿更多女神的祝福了。{nl}我想知道你信仰的心有多虔誠。{nl}
QUEST_UNUSED_20150317_000024	當然這不是能以抽象標準來衡量的。{nl}我就是以女神之名將帶給這森林邪惡的氣息的報喪女妖們給驅趕走的。
QUEST_UNUSED_20150317_000025	女神的敵人就是我們的敵人。{nl}那麼我們柯拉佩達見。
QUEST_UNUSED_20150317_000026	您來了啊！你的信仰之心很虔誠。{nl}給了我很多靈感。{nl}這是我的一點心意。請用在正確的地方。
QUEST_UNUSED_20150317_000027	以前很清幽的這個地方現在因為怪物出沒而不得安寧。
QUEST_UNUSED_20150317_000028	不管那個怪物的話牠會攻擊聚集而來的靈魂並且將之汙染。
QUEST_UNUSED_20150317_000029	不管怎麼說那些傢伙數量總算有減少，我心情是有好一點。
QUEST_UNUSED_20150317_000030	許多人們把家人的骨灰盒埋在這個地方。{nl}現在都被怪物們給挖開，就將骨灰盆改成安置在地面上了。
QUEST_UNUSED_20150317_000031	有一陣子常常能聽到先人們悲傷的啜泣聲… 一段令人懷念的時光。
QUEST_UNUSED_20150317_000032	還是有很多無法回收的遺物，但幸好還是守住一部分的遺物。
QUEST_UNUSED_20150317_000033	其他貓頭鷹雕像必須引導的靈魂們正往這裡來。{nl}關口附近一定是出事了。
QUEST_UNUSED_20150317_000034	不知道發生甚麼事，總覺得我們好像被騙了。
QUEST_UNUSED_20150317_000035	不愧是魔族啊！{nl}正干擾著這裡的清靜。
QUEST_UNUSED_20150317_000036	說不定那些奔向北方的靈魂們知道有關那傢伙的情報。
QUEST_UNUSED_20150317_000037	迷路的靈魂
QUEST_UNUSED_20150317_000038	您還活著啊…{nl}但你現在的處境也不安全。
QUEST_UNUSED_20150317_000039	我不知道魔族在低吟甚麼…但那關口的門一定得打開才行。
QUEST_UNUSED_20150317_000040	大家都向更深處去尋找貓頭雕像了。{nl}能否幫我們逃出這裡呢？
QUEST_UNUSED_20150317_000041	怪物為了吸收靈魂而追上來了。{nl}被牠們逮到的話會被邪惡力量感染。
QUEST_UNUSED_20150317_000042	太感謝了！{nl}可以找機會逃跑啊…
QUEST_UNUSED_20150317_000043	依依不捨的靈魂
QUEST_UNUSED_20150317_000044	我都知道。{nl}先行前往北邊的靈魂們沒辦法到達目的地的。{nl}不過可利用其他貓頭鷹雕像幫助指引方向。{nl}但我因為丘陵上方的吉伯優南瓜精沒辦法去…
QUEST_UNUSED_20150317_000045	怪物們為什麼要追著我們跑啊…{nl}好累喔…死也不要…
